017
num-fields|53
id|int32
image_x|int32
image_y|int32
image_w|int32
image_h|int32
src_x|int32
src_y|int32
src_image|int32
cal_image|int32
ppc|int32
camera|int32
cal_const|double
fringe_size|double
sphere_count|int32
raw_sphere_volume|double
raw_sphere_complement|double
raw_sphere_unknown|double
raw_area|double
raw_feret_max|double
raw_feret_min|double
raw_feret_mean|double
raw_perimeter|double
raw_convex_perimeter|double
raw_legendre_major|double
raw_legendre_minor|double
abd_area|double
abd_diameter|double
length|double
width|double
esd_diameter|double
fd_diameter|double
perimeter|double
convex_perimeter|double
intensity|double
sigma_intensity|double
sum_intensity|double
compactness|double
elongation|double
roughness|double
edge_gradient|double
elapsed_time|double
circle_fit|double
symmetry|double
circularity_hu|double
intensity_calimage|double
raw_convex_hull_area|double
raw_filled_area|double
filled_area|double
feret_max_angle|double
feret_min_angle|double
timestamp|timestamp
collage_file|string
image_id|guid
21|508|2|21|20|666|1109|127|1|1|0|9.25|4.5|0|0.0|0.0|0.0|46.0|13.0|8.0|10.9444|36.1421|31.3667|14.6961|7.2682|983.9688|35.3953|78.625|37.0|59.6107|35.3953|334.3144|248.517|116.8261|54.7351|5374.0|2.2597|4.8949|1.3452|227.5938|14.344|0.6409|0.414|0.4358|0.0|61.0|46.0|983.9688|-70.0|45.0|2023-05-22T12:46:36.654|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|B7C97E7F-6F72-4565-A7AF-7359EF7F6C0C
22|531|2|20|22|1002|231|21|1|1|0|9.25|4.5|0|0.0|0.0|0.0|74.0|14.0|8.0|11.3889|35.3137|32.5084|13.6972|7.7644|1821.7798|48.1618|87.875|37.0|63.7223|49.9638|326.6517|259.0777|148.5946|49.065|10996.0|1.2888|1.2469|1.2608|168.5625|2.469|0.7007|0.5119|0.791|0.0|72.5|77.0|1960.6497|-65.0|30.0|2023-05-22T12:46:24.777|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|37411188-D981-42C9-97E0-B5869E9387BF
23|553|2|19|23|480|163|79|1|1|0|9.25|4.5|0|0.0|0.0|0.0|43.0|15.0|5.0|10.8333|32.3848|30.9522|15.8359|4.1286|919.7969|34.2217|97.125|23.125|58.583|34.2217|299.5594|244.6829|187.907|14.3589|8080.0|1.9409|3.8369|1.2243|109.8889|8.969|0.5624|0.5572|0.4089|0.0|40.5|43.0|919.7969|-65.0|35.0|2023-05-22T12:46:31.279|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|FE88CE46-4F20-4BC7-AACE-F6D516C2FA0F
24|574|2|32|32|169|177|121|1|1|0|9.25|4.5|0|0.0|0.0|0.0|351.0|24.0|19.0|22.0|68.7696|65.9029|23.7677|18.8317|18607.5513|153.9216|180.375|134.125|161.875|153.9216|636.1188|567.9768|96.5385|54.6681|33885.0|1.0722|1.0|1.12|136.6897|13.672|0.8484|0.9148|0.972|0.0|333.0|351.0|18607.5513|-80.0|40.0|2023-05-22T12:46:35.987|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|2466502A-F36B-462B-97A4-33AE093824C1
25|608|2|20|21|148|1633|124|1|1|0|9.25|4.5|0|0.0|0.0|0.0|80.0|13.0|8.0|10.6389|31.5563|30.7543|12.4393|8.178|2101.7933|51.7309|78.625|37.0|56.7848|51.7309|291.8958|242.8523|116.675|54.7064|9334.0|1.0|1.0|1.2019|217.2963|14.016|0.8242|0.8511|0.9192|0.0|68.5|80.0|2101.7933|55.0|-35.0|2023-05-22T12:46:36.324|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|431CD20B-EAF9-441E-9398-7BB18C2A2B1D
26|630|2|20|31|468|71|125|1|1|0|9.25|4.5|0|0.0|0.0|0.0|135.0|22.0|9.0|16.0833|49.2132|47.1949|20.3618|8.8043|4982.3964|79.6479|161.875|41.625|107.1455|79.6479|455.2221|394.9278|146.4222|42.9905|19767.0|1.4276|1.98|1.1527|137.093|14.125|0.5789|0.7409|0.6986|0.0|127.0|135.0|4982.3964|80.0|-5.0|2023-05-22T12:46:36.436|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|D021C2D7-B3CB-4872-8E1B-31DACAD1858C
27|652|2|23|73|139|20|120|1|1|0|9.25|4.5|0|0.0|0.0|0.0|399.0|64.0|13.0|42.7222|139.0122|131.1799|60.0359|10.3605|21868.3198|166.864|550.375|78.625|353.5554|166.864|1285.8628|1171.7891|146.4085|31.8534|58417.0|3.8541|10.0081|1.0974|71.5197|13.563|0.0|0.5749|0.2737|0.0|506.0|399.0|21868.3198|-85.0|0.0|2023-05-22T12:46:35.875|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|56D93040-21B0-4282-9A6B-627293948F81
28|677|2|29|41|893|904|115|1|1|0|9.25|4.5|0|0.0|0.0|0.0|375.0|33.0|15.0|25.0833|79.0122|76.0836|33.3927|14.4465|20231.1605|160.4965|263.625|97.125|190.3955|160.4965|730.8629|662.1483|121.9573|69.0817|45734.0|1.3248|1.4915|1.1038|122.9552|13.0|0.4741|0.7471|0.7214|0.0|357.5|375.0|20231.1605|70.0|-25.0|2023-05-22T12:46:35.315|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|BD494047-2254-47C7-84C3-C1150397D88F
29|708|2|15|28|538|18|128|1|1|0|9.25|4.5|0|0.0|0.0|0.0|26.0|18.0|3.0|12.25|37.3137|35.3476|20.798|1.8877|556.1563|26.6105|124.875|13.875|71.6875|26.6105|345.1517|285.3403|207.6538|12.1527|5399.0|4.2614|11.2991|1.2096|82.9706|14.516|0.4282|0.358|0.1518|0.0|22.5|26.0|556.1563|-90.0|-15.0|2023-05-22T12:46:36.827|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|CCB3CA55-FB00-4ED2-AFDF-076F2C8E49FA
30|725|2|19|22|1002|231|33|1|1|0|9.25|4.5|0|0.0|0.0|0.0|61.0|13.0|9.0|10.75|39.2132|30.4391|13.0652|7.4211|1304.8281|40.7598|78.625|41.625|57.8125|40.7598|362.7221|239.9367|146.2623|47.9535|8922.0|2.006|4.0554|1.5117|160.6364|3.813|0.617|0.3951|0.688|0.0|63.5|61.0|1304.8281|-75.0|0.0|2023-05-22T12:46:26.123|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|7D4B0954-8A6B-46C4-8FCE-822F708D4470
